,Titulo,Postado,Visualizacao,comentarios
19,TESOURO DIRETO: Descubra o seu perfil e PARE DE PERDER DINHEIRO!,2017-11-27,1.753.773'00,5.038'00
20,COMO INVESTIR PRA VIVER DE RENDA EM 2019? E o cálculo RIDÍCULO que ninguém faz!,2018-12-31,1.749.949'00,4.933'00
21,6 SINAIS DE QUE VOCÊ VAI SER RICA. O primeiro sinal é SINISTRO,2019-03-07,1.731.837'00,11.074'00
22,"TV, notebook e até telefone no GALPÃO de OPEN BOX! Como COMPRAR E ECONOMIZAR #NathNaRua 1",2018-04-05,1.697.472'00,2.429'00
23,GANHE DINHEIRO EM 2020! TOP 6 investimentos do ano! De Tesouro a Fundos Imobiliários,2020-01-09,1.626.372'00,2.175'00
24,SCORE: O QUE É E COMO AUMENTAR O SEU! | Vídeo pra vida,2017-08-21,1.583.196'00,4.027'00
25,REGRA PARA TER DINHEIRO! Viva um degrau abaixo! Como fazer isso?,2017-10-09,1.557.445'00,3.135'00
26,ERROS FINANCEIROS: 6 vacilos que cometi e você tem que evitar! Série investidores iniciantes #5,2018-03-30,1.551.469'00,3.245'00
27,BITCOINS PARA LEIGOS! É investimento?| Como comprar? (Feat CanalTech),2017-04-10,1.542.014'00,3.660'00
29,"COMO JUNTAR OS PRIMEIROS R$ 100 MIL REAIS? Como, quanto e onde investir!",2018-09-10,1.526.225'00,2.953'00
28,TOP 5 MELHORES INVESTIMENTOS PARA 2019! E a estratégia pra ganhar mais dinheiro com cada um!,2019-01-17,1.526.199'00,2.111'00
30,ESTREIA REALITY ME POUPE! R$70 MIL negativos e 4 Semanas pra sair do BURACO! (EP.01),2018-12-20,1.448.783'00,6.206'00
31,ENTREVISTA COM TATÁ WERNECK! Ela investe mais do que você imagina.,2017-12-26,1.431.827'00,1.203'00
32,COMO GANHAR MIL REAIS A MAIS TODO MÊS EM 2020!? 5 ideias práticas,2020-02-06,1.415.489'00,2.695'00
33,PAGOU BALADA PARA OS AMIGOS E SE FERROU! Conta estourada e 46 MIL em dívidas! (EP 03 PARTE 01),2019-10-15,1.401.978'00,2.361'00
34,6 COISAS QUE NÃO COMPRO MAIS E QUE ME AJUDAM A ECONOMIZAR! O 2º é polêmico!,2020-02-10,1.381.516'00,5.509'00
35,JUNTE DINHEIRO PARA MORAR SOZINHO! | 5 passos para sair de casa!,2017-05-09,1.362.579'00,3.043'00
36,Poupança ou Tesouro Selic? A conta que você precisava!,2016-08-22,1.356.813'00,1.056'00
37,DICAS PRA ECONOMIZAR NA HORA DE COMPRAR ROUPA | Primeiro episódio completo | DETOX DO GUARDA-ROUPA,2018-01-11,1.355.600'00,2.471'00
38,ALUGAR É MELHOR QUE FINANCIAR! Saiba porque!,2016-03-21,1.335.781'00,2.854'00
39,O que é  SELIC E CDI? Entenda isso HOJE e pare de PERDER DINHEIRO! | SÉRIE INVESTIDORES INICIANTES,2018-03-29,1.324.645'00,2.032'00
40,Como investir com salário de Estagiário? | 5 DICAS QUE EU USEI NA FACUL!,2017-01-12,1.275.478'00,1.754'00
41,COMO EU TIRO AS METAS DO PAPEL! Técnica simples pra juntar mais dinheiro do que nunca!,2018-01-04,1.215.212'00,3.544'00
42,5 PASSOS PRÁTICOS PRA COMPRAR SEU CARRO À VISTA (e com desconto)! Comprei 3 carros assim!,2019-06-17,1.185.442'00,2.765'00
43,TUDO (OU QUASE) QUE VOCÊ PRECISA SABER SOBRE FUNDOS IMOBILIÁRIOS! Virei dona de um Shopping!,2017-12-14,1.175.389'00,1.589'00
44,"TOP 4 INVESTIMENTOS MELHORES QUE A POUPANÇA! CDB, LCI, LCA E… Isso ninguém te conta",2018-03-19,1.166.842'00,2.298'00
45,"CASAL DESCONTROLADO, 2 MIL DE RENDA E 24 MIL EM DÍVIDAS! (Reality Me Poupe! EP 2 PARTE 1)",2019-10-08,1.158.668'00,1.856'00
46,MEUS 10 HÁBITOS PRA GANHAR MAIS DINHEIRO. Por que eu nunca REVELEI?,2019-03-18,1.145.181'00,2.850'00
48,MEUS 10 HÁBITOS PRA GANHAR MAIS DINHEIRO. Por que eu nunca REVELEI?,2019-03-18,1.145.181'00,2.850'00
47,ECONOMIA DA CABEÇA AOS PÉS! Dá pra juntar 5 MIL REAIS FAZENDO ISSO!,2018-10-08,1.1390'00,3.986'00
49,ECONOMIA DA CABEÇA AOS PÉS! Dá pra juntar 5 MIL REAIS FAZENDO ISSO!,2018-10-08,1.1390'00,3.986'00
